id,name,age,type,profile,game,,choice
2,145,7,MathSchool,фіз-мат,1,,1
2,145,7,MathSchool,фіз-мат,1,,1
2,145,7,MathSchool,фіз-мат,1,,45
2,145,7,MathSchool,фіз-мат,1,,50
2,145,7,MathSchool,фіз-мат,1,,7
2,145,7,MathSchool,фіз-мат,1,,1
2,145,7,MathSchool,фіз-мат,1,,1
2,145,7,MathSchool,фіз-мат,1,,1
2,145,7,MathSchool,фіз-мат,1,,100
2,145,7,MathSchool,фіз-мат,1,,50
2,145,7,MathSchool,фіз-мат,1,,1
2,145,7,MathSchool,фіз-мат,1,,1
2,145,7,MathSchool,фіз-мат,1,,1
2,145,7,MathSchool,фіз-мат,1,,1
2,145,7,MathSchool,фіз-мат,1,,7
2,145,7,MathSchool,фіз-мат,1,,1
2,145,7,MathSchool,фіз-мат,1,,3
2,145,7,MathSchool,фіз-мат,1,,1
2,145,7,MathSchool,фіз-мат,1,,1
2,145,7,MathSchool,фіз-мат,1,,1
2,145,7,MathSchool,фіз-мат,1,,1
2,145,7,MathSchool,фіз-мат,1,,50
2,145,7,MathSchool,фіз-мат,1,,1
2,145,7,MathSchool,фіз-мат,1,,2
2,145,7,MathSchool,фіз-мат,1,,1
2,145,7,MathSchool,фіз-мат,1,,1
2,145,7,MathSchool,фіз-мат,1,,1
2,145,7,MathSchool,фіз-мат,1,,1
2,145,7,MathSchool,фіз-мат,1,,1
2,145,7,MathSchool,фіз-мат,1,,50
2,145,7,MathSchool,фіз-мат,1,,50
2,145,7,MathSchool,фіз-мат,1,,1
2,145,7,MathSchool,фіз-мат,1,,1
2,145,7,MathSchool,фіз-мат,1,,1
2,145,7,MathSchool,фіз-мат,1,,1
2,145,7,MathSchool,фіз-мат,1,,66
2,145,7,MathSchool,фіз-мат,1,,12
2,145,7,MathSchool,фіз-мат,1,,1
2,145,7,MathSchool,фіз-мат,1,,1
2,145,7,MathSchool,фіз-мат,1,,1
2,145,7,MathSchool,фіз-мат,1,,1
2,145,7,MathSchool,фіз-мат,1,,2
2,145,7,MathSchool,фіз-мат,1,,3
2,145,7,MathSchool,фіз-мат,1,,1
2,145,7,MathSchool,фіз-мат,1,,50
2,145,7,MathSchool,фіз-мат,1,,1
2,145,7,MathSchool,фіз-мат,1,,1
2,145,7,MathSchool,фіз-мат,1,,100
2,145,7,MathSchool,фіз-мат,1,,50
2,145,7,MathSchool,фіз-мат,1,,3
2,145,7,MathSchool,фіз-мат,1,,1
2,145,9,MathSchool,фіз-мат,1,,69
3,Русанівський,7-8,MathSchool,фіз-мат,1,,1
3,Русанівський,7-8,MathSchool,фіз-мат,1,,100
3,Русанівський,7-8,MathSchool,фіз-мат,1,,1
3,Русанівський,7-8,MathSchool,фіз-мат,1,,100
3,Русанівський,7-8,MathSchool,фіз-мат,1,,1
3,Русанівський,7-8,MathSchool,фіз-мат,1,,50
3,Русанівський,7-8,MathSchool,фіз-мат,1,,1
3,Русанівський,7-8,MathSchool,фіз-мат,1,,1
3,Русанівський,7-8,MathSchool,фіз-мат,1,,1
3,Русанівський,7-8,MathSchool,фіз-мат,1,,100
3,Русанівський,7-8,MathSchool,фіз-мат,1,,1
3,Русанівський,7-8,MathSchool,фіз-мат,1,,1
3,Русанівський,7-8,MathSchool,фіз-мат,1,,1
3,Русанівський,7-8,MathSchool,фіз-мат,1,,1
3,Русанівський,7-8,MathSchool,фіз-мат,1,,1
3,Русанівський,7-8,MathSchool,фіз-мат,1,,1
3,Русанівський,7-8,MathSchool,фіз-мат,1,,1
3,Русанівський,7-8,MathSchool,фіз-мат,1,,100
3,Русанівський,7-8,MathSchool,фіз-мат,1,,1
